year,name,fraction,sex,rank
2009,Natasha,0.000387,f,403
2009,Jamari,0.000345,m,404
2009,Madyson,0.000386,f,404
2009,Albert,0.000345,m,405
2009,Janelle,0.000386,f,405
2009,Alec,0.000344,m,406
2009,Brenda,0.000385,f,406
2009,Hugo,0.000341,m,407
2009,Lyric,0.000385,f,407
2009,Orlando,0.000339,m,408
2009,Adelyn,0.000384,f,408
2009,Jay,0.000339,m,409
2009,Kimora,0.000384,f,409
2009,Kade,0.000339,m,410
2009,Paris,0.000383,f,410
2009,Romeo,0.000339,m,411
2009,Imani,0.000382,f,411
2009,Braylen,0.000337,m,412
2009,Priscilla,0.000381,f,412
2009,Beckett,0.000336,m,413
